date,flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
20190211,527816958,0,,,AER918,KO918,FAI,,
20190211,527823506,0,,,,,,,
20190211,527972677,0,,,,N3255,,,
20190211,527939878,0,,,,B6788,,,
20190212,528045546,0,,,NAC765,NC765,SCC,,
20190212,528093022,0,,,,B9875,,,
20190212,528108193,0,,,,B9886,,,
20190212,528121421,0,,SW4,TNV132,,FAI,,
20190212,528130854,0,,,,KO11,,,
20190212,528135910,0,,SW4,TNV90,,FAI,,
20190212,527983038,0,,,,B8341,,,
20190212,528046665,0,,,SVX41,,SCC,,
20190212,528110202,0,,,TNV132,,ANC,,
20190212,528131101,0,,DH8A,RVF8160,,,,
20190212,528150030,0,,,TN291DT,,FAI,,
20190213,528153729,0,,,,,,,
20190213,528154203,0,,,,D1658,,,
20190213,528160014,0,,,,B9904,,,
20190213,528271394,0,,,,,,,
20190213,528280389,0,,SW4,TNV132,,ANC,,
20190213,528294208,0,,,,D3370,,,
20190213,528297736,0,,SW4,TNV132,,FAI,,
20190213,528312446,0,,DH8A,RVF8122,7H8122,GBH,FAI,ANC
20190213,528314337,0,,,,D3386,,,
20190214,528342015,0,,,,D5253,,,
20190214,528343895,0,,,,,,,
20190214,528369736,0,,,,,,,
20190214,528458337,0,,,CON171,,ANC,,
20190214,528467623,0,,,,D7286,,,
20190214,528473220,0,,SW4,TNV132,,ANC,,
20190214,528483745,0,,,,N3255,,,
20190214,528489908,0,,SW4,TNV132,,FAI,,
20190214,528507117,0,,,,D7326,,,
20190214,528515467,0,,,,D7309,,,
20190215,528526357,0,,,TN291DT,,FAI,,
20190215,528529681,0,,,,,,,
20190215,528549602,0,,,,,,,
20190215,528549992,0,,,,,,,
20190215,528664972,0,,SW4,TNV132,,ANC,,
20190215,528682603,0,,SW4,TNV132,,FAI,,
20190215,528718447,0,,,,E2400,,,
20190216,528735271,0,,,,,,,
20190216,528751286,0,,,,B3333,,,
20190216,528790893,0,,,,,,,
20190218,529104990,0,,,,,,,
20190218,529179427,0,,,,E8203,,,
20190218,529195173,0,,,,,,,
20190218,529207381,0,,,,E8210,,,
20190219,529250073,0,,,,F0106,,,
20190219,529252803,0,,,,,,,
20190219,529382148,0,,,AER11,KO11,ANC,FAI,FAI
20190219,529387864,0,,,,F224,,,
20190219,529415525,0,,,,F319,,,
20190220,529514869,0,,,,,,,
20190220,529514914,0,,,,,,,
20190220,529544009,0,,,,F5531,,,
20190220,529557301,0,,,,,,,
20190220,529566557,0,,SW4,TNV132,,ANC,,
20190220,529579639,0,,SW4,TNV132,,FAI,,
20190220,529588187,0,,,,F5567,,,
20190220,529597346,0,,,TN641AT,,FAI,,
20190221,529713224,0,,,,F9184,,,
20190221,529731225,0,,,,F9212,,,
20190221,529733401,0,,SW4,TNV132,,ANC,,
20190221,529748414,0,,C441,SVX41,,ANC,,
20190221,529767734,0,,,,,,,
